Title,Artist,Count
If I Die Young,The Band Perry,145608492
I Can Love You Like That,John Michael Montgomery,16625023
They Can't See,Michael Tyler,8281171
Must've Never Met You,Luke Combs,47585982
Wheels,Steve Moakler,3503836
Man! I Feel Like A Woman!,Shania Twain,174118060
Prayed for You,Matt Stell,36382595
From Where I'm Standing,Curtis Grimes,6702908
Wasted Time,Keith Urban,58807069
Austin,Koe Wetzel,11504530
I Want to Know What Love Is,Kenny Chesney,3114587
Ol' Red,Blake Shelton,33018415
Must Be The Whiskey,Cody Jinks,16967281
Here Tonight,Brett Young,52022032
Where I Come From,Montgomery Gentry,46898852
I'm Already There,Lonestar,27156209
"Take Me Home, Country Roads - Rerecorded",John Denver,212410122
Dance with Me (feat. Kelsea Ballerini),Morgan Evans,11142572
Today,Brad Paisley,32688667
Free And Easy (Down The Road I Go),Dierks Bentley,29067462
Country Club,Travis Tritt,6054729
"Honey, I'm Home",Shania Twain,16454215
Better in Boots,Tyler Farr,22518641
Small Town Saturday Night,Hal Ketchum,11482424
Campfire Cologne,Demun Jones,11079543
Finally Friday,George Jones,7240197
God's Gonna Cut You Down,Johnny Cash,84872203
Bottoms Up,Brantley Gilbert,125609380
Elvira,The Oak Ridge Boys,9522562
Gettin' You Home,Chris Young,36503986
In Case You Didn't Know,Brett Young,217356811
Monsters,Eric Church,8973316
Queen Of My Double Wide Trailer,Sammy Kershaw,12829929
Love Wins,Love and Theft,3796336
Scarecrow In The Garden,Chris Stapleton,20482502
She Thinks My Tractor's Sexy,Kenny Chesney,35524451
All To Myself,Dan + Shay,105920312
If Heaven Ain't A Lot Like Dixie,"Hank Williams, Jr.",18135098
Free,Zac Brown Band,39847990
Dibs,Kelsea Ballerini,48841219
Just Another Day In Paradise,Phil Vassar,33882864
Travelin' Soldier,Dixie Chicks,32577303
Three Wooden Crosses - All The Number Ones Version,Randy Travis,28291792
John Deere Green,Joe Diffie,26488138
Flatliner,Cole Swindell,74760368
Billions,Russell Dickerson,5775568
Babe,Sugarland,53827607
Lead Me On,Teddy Robb,18334050
Hoping,Temecula Road,1830046
I’m Your Only Flaw,Josh Abbott Band,5269073
Chicks Dig It - Single Edit,Chris Cagle,22714200
Marry Me,Thomas Rhett,187339497
Stay,Ryan Kinder,3449448
Either Way,Chris Stapleton,34135863
The Night The Lights Went Out In Georgia,Reba McEntire,19699300
I Don't Want This Night To End,Luke Bryan,96475429
Redneck Side of Me,Jamey Johnson,9048977
Better Boat (feat. Mindy Smith),Kenny Chesney,7266357
Road Less Traveled,Lauren Alaina,48620913
Big Green Tractor,Jason Aldean,65662961
I Want Crazy - Encore,Hunter Hayes,94832062
Consider Me Gone,Reba McEntire,12253471
East Bound and Down,Jerry Reed,32239784
Don't Tread on Me (feat. Earl Dibbles Jr.),Granger Smith,8920037
Song for Another Time,Old Dominion,96329924
Any Man Of Mine,Shania Twain,55967513
Hey Pretty Girl,Kip Moore,54976547
Loud and Heavy,Cody Jinks,42854366
Back To Us,Rascal Flatts,23432858
Break Up In A Small Town,Sam Hunt,177681263
It Goes Like This,Thomas Rhett,109726581
Broken Halos,Chris Stapleton,99842513
Yours,Russell Dickerson,168182133
Red Ragtop,Tim McGraw,17732348
Best Days of Your Life,Kellie Pickler,11978079
How Do You Like Me Now?!,Toby Keith,28804296
I Know Somebody,LOCASH,51606559
Make You Mine,High Valley,30496040
Redneck Girl - Rerecorded,The Bellamy Brothers,7350367
Drunk On A Plane,Dierks Bentley,117580982
Don't Close Your Eyes,Keith Whitley,23673596
Daddy's Money,Ricochet,6747413
Greatest Love Story,LANCO,147195429
Right Girl Wrong Time,Jon Langston,31334843
"Love, Me",Collin Raye,11060299
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,62683714
It Don't Hurt Like It Used To,Billy Currington,107303571
Fire Away,Chris Stapleton,72200347
When It Comes To Loving You,Jon Langston,9287628
Blame It On Waylon,Josh Thompson,21733390
That's When You Know,Chris Buck Band,4904548
Speed,Montgomery Gentry,6510226
Life's a Party,Logan Mize,2529760
Never Gets Old,Joe Nichols,3325949
When We’re 80,Thomas Rhett,3878430
I Don't Remember Me (Before You),Brothers Osborne,17908714
Fix a Drink,Chris Janson,31310638
Burning Man,Dierks Bentley,57166243
The Ones That Didn’t Make It Back Home,Justin Moore,23244388
Be with Me,Old Dominion,19138501
Undo It,Carrie Underwood,23947175
Bitches,Mitchell Tenpenny,19374383
One Wing In The Fire,Trent Tomlinson,11774590
Snapback,Old Dominion,95448431
It All Started with a Beer - Single Version,Frankie Ballard,53752626
Gin and Juice,The Gourds,9261293
Ain't Nothing 'Bout You,Brooks & Dunn,2901872
Are the Good Times Really Over (I Wish a Buck Was Still Silver),Merle Haggard,8351428
Bad Girlfriend,Theory of a Deadman,88051208
Ex Thing,David Fanning,3255403
Breakup Sex,Hunter Phelps,8954655
Woulda Left Me Too,Ryan Griffin,11788683
Bartender (Sittin' At A Bar),Rehab,9546230
Me and My Kind,Cody Johnson,23709597
The Whiskey Ain't Workin' (feat. Marty Stuart),Travis Tritt,4771564
Night Train,Jason Aldean,84800582
Heaven South,Brad Paisley,4971675
Olivia Mae,Brett Young,8795009
Corpus Christi Bay,Robert Earl Keen,5736772
This Is It,Scotty McCreery,57674398
Goodbye Summer,Danielle Bradbery,17129678
Friday Night,Eric Paslay,53424368
All About You,Josh Turner,4861024
Just Got Started Lovin' You,James Otto,17619607
More,Clare Dunn,11520948
Day Drunk,Morgan Evans,31892301
Nothin' To Lose,Josh Gracin,15499967
A Little Bit Stronger,Sara Evans,37727252
Livin' On Love,Alan Jackson,9385276
She Don't Love You,Eric Paslay,30236848
Baby Blue,George Strait,7828463
"Jesus, Take the Wheel",Carrie Underwood,43160471
Be My Baby Tonight,John Michael Montgomery,9442002
Brand New Girlfriend,Steve Holy,9195690
A Little More Summertime,Jason Aldean,37569620
That Lonesome Song,Jamey Johnson,15005306
Found You,Kane Brown,53008814
80s Mercedes,Maren Morris,58962871
She Don't Know She's Beautiful,Sammy Kershaw,27551681
