,Title,Artist,Rank,Peak Position,Last Position,Weeks,Lyrics
20,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,21,1,19,53,"author: jorge ramos read it, happen. post malone recently joined exclusive list artists perform virtual reality. concert, scheduled october take place raleigh’s pnc arena, streamed oculus venue app. everyone owns oculus headset able watch concert perspective oculus venues. post malone ready “bend minds”, according billboard, wrong, concert going one increasing amounts events streamed vr year, oculus venue app. raleigh’s pnc arena, north carolina, hold event streamed degrees perspective oculus venue, app vr company watch exclusive events oculus devices. grammy-winning artist dropped recent album, hollywood’s bleeding, back september great collaborators, ozzy osborne travis scott track “take want”, halsey alongside future “die me”. record also includes singles “wow” “sunflower” (spiderman: spider-verse) featuring swae lee, reaching top global chart spotify. malone talked concert according variety stated “when putting together tour, wanted make sure giving fans something new crazy new production show.“ later adding “working oculus vr broadcast gives fans home chance sit front row north carolina show, like ’re arena. sounds pretty f***ing cool me.” previous concerts broadcasted vr concert make austin richard post aka post malone, one people done kind show. still, among important artists done billie eilish, month ago, tenacious d. tenacious went july st many agree saying success experience actually made comfortable. unexpected advantage “different state legislation” people, mentioned article cult machine. moving little closer time, september rd, able see billie eilish’s concert streamed vr, using oculus venues platform well. eilish played madrid, spain, according many articles, experience opinions may vary lot, explained article uploadvr. according iheartradio, talked concert stating 'i make everybody get really low, jump drop comes in. even though watching vr headset, still get low jump everyone.' besides music, there’s lot exclusive events plan going towards virtual reality, including nba. last september announced collaboration many vr platform broadcast games starting october. likely soon watch nfl season bet superbowl favorites, using vr technology. vr taken last year although recent concerts biggest stars moment made vr reach spotlight, couple extra apps taken step forward remark. thesigning deals biggest record labels allowing us feel crowds different concerts, events even festivals. safe say virtual reality keeps breaking walls also worth think minute could affect trends, attendances concerts many factors. also, could change vr apps kind shows, microtransactions possibility possible alteration near future."
21,Talk,Khalid,22,3,18,37,"talk? talk? talk we're goin' get lost, lend thoughts can't get want without knowin' i've never felt like apologize  movin' far talk? talk? figure we're goin' yeah, started right see eyes tell wantin' what's mind? there's reason hide tell somethin' ain't heard oh, i've dreamin' 'bout  stop thinkin' 'bout talk? talk? talk we're goin' get lost, lend thoughts (yeah) can't get want without knowin' (no) i've never felt like apologize  movin' far talk? talk? figure we're goin' oh, nah penthouse view, left flowers room i'll make sure leave door unlocked  way, swear late i'll five o'clock oh, dreamin' 'bout  want stop thinkin' 'bout talk? (oh) talk? talk we're goin' get lost, lend thoughts can't get want without knowin' i've never felt like apologize  movin' far talk? talk? figure we're goin' figure we're goin'"
22,Sucker,Jonas Brothers,23,1,23,34,"go together better birds feather, change weather, yeah  feelin' heat december 'round i've dancin' top cars stumblin' bars follow dark, can't get enough medicine pain, tattoo inside brain and, baby, know obvious  sucker say word i'll go anywhere blindly  sucker , yeah road take, know find  sucker subliminal things one knows (about ), (about ) makin' typical break typical rules true,  sucker , yeah complicate (yeah) 'cause know know everything can't remember (yeah) nights remember 'round (oh, yeah, yeah) i've dancin' top cars stumblin' bars follow dark, can't get enough medicine pain, tattoo inside brain and, baby, know obvious  sucker say word i'll go anywhere blindly  sucker , yeah road take, know find  sucker subliminal things one knows (about ), (about ) makin' typical break typical rules true,  sucker , yeah (uh) ( sucker ) i've dancin' top cars stumblin' bars follow dark, can't get enough medicine pain, tattoo inside brain and, baby, know obvious  sucker , yeah say word i'll go anywhere blindly  sucker , yeah road take, know find  sucker subliminal things one knows (about ), (about ) makin' typical break typical rules true,  sucker (uh)  sucker"
23,On Chill,Wale Featuring Jeremih,24,22,22,11,"we've tragedy months can't agree once? maybe chill tonight maybe give chills we've tragedy months can't agree once? yeah maybe chill tonight (one time) maybe give chills (chill)  gettin' mine like fine wine measured time many brothers loved pleasure mine pressure us say love fuck cuffin' shit, want us comfortable now, real lovin'? wanna pull with? care dated long care trustin'?  tryna hear problems lighten load no, fighting alone 'cause  protectin' 'em, chill life hard ex-lovers like scars 'cause stop hurtin' never forgettin' ngin, biggest enemy club voicemails third rings fucking trust we've tragedy months (so trust) can't agree once? (and  tryna slow up) maybe chill tonight maybe give chills we've tragedy months can't agree once? yeah maybe chill tonight maybe give chills (hey, shawty, look, okay) switch ,  gonna stay same, yeah pull put patience  good, well got without expectation good title shawty wave? yeah let illustrate , let tongue repaint already waxed, brainstorm? everywhere nigga take , know face good modify energy bank skin glow maxfield, let fly, lot show care, gon' wear nigga house share whereabouts gossip hood love supreme confidence, good that's good enough, woah, yeah we've tragedy months can't agree once? maybe chill tonight maybe give chills we've tragedy months can't agree once? yeah maybe chill tonight maybe give chills 'bout that? oh  tired makin' fallin' wanna nigga callin' pick body out, let's chill 'bout that? oh  tired makin' fallin' wanna nigga callin' pick body out, let's chill we've tragedy months can't agree once? maybe chill tonight maybe give chills we've tragedy months can't agree once? yeah maybe chill tonight maybe give chills give me, oh there,"
24,Money In The Grave,Drake Featuring Rick Ross,25,7,25,19,"yeah, okay lil cc beat, mmm yeah, yeah mean, fuck really even start? got hoes  keepin' dark got niggas 'cross street livin' large thinkin' back fact dead thought raps facts 'til sat bars got two phones, one need charge yeah, twins, could tell ass apart got big packs comin' way got big stacks comin' safe got lil max me, wave big gap us game next life,  tryna stay paid die, put money grave die, put money grave really gotta put couple niggas place really lapped every nigga race really might tat 'realest nigga' face lil cc let slap bass used save hoes mask cape  like, 'nah, love,  good, go away' ain't die money, done gave top shit meant lot still top like  scared drop still top niggas wanna swap niggas wanna swap like slauson watts wanna change 'cause  good  mob ties,  always good  word junior, jazzy, baby j tell 'em die, put money grave couple figures, killers call collect (collect) fuck nigga, next (next) really livin' large, awe mack niggas thinkin' small mall rat (rat) roll us really wanna get (get it) go get half million sprinter (sprinter) phone ringin', bitches know big tipper (tipper) got hookup there's really limit (limit) dead broke nigga dna (dna) rickey smiley's decatur yé lil' nigga, another state case bury motherfuckin' chase bank, time bounce (bounce) gotta count allowance (gotta count allowance) niggas snitches gotta reroute (so gotta reroute it) nigga drippin' like got zillion dollars got trap jumpin' like zion rebound  (then  out) i'll never talk (about it) homies quiet, smoke loudest (loudest) rich niggas  really bein' modest 'cause way deals, never treated like artist want house (house) could dm accountant per diem six figures  countin' nine figures goal 'til hit niggas ain't livin', bury mine ross got (maybach music) die, put money grave really gotta put couple niggas place really lapped every nigga race really might tat 'realest nigga' face lil cc let slap bass used save hoes mask cape  like, 'nah, love,  good, go away' ain't die money, done gave"
25,Playing Games,Summer Walker,26,16,26,8,"whip, bought crib, got job, ever ask take go shopping paris go sailing overseas drape gucci? ever asked pick phone alone ever asked show love, kisses hugs no, never issue go club boys, baby, never wanted stay long wanted show say name, say name? claim want me, ain't thang acting kind shady ain't calling baby, oh boy, go'n stop playing games playing games know sayin', 'hit line'  mind, want bad  cool  tryna match words actions need satisfaction really 'bout action? really want give flex front friends work? swear take picture, can't post work? quit talking, back shit say my, say say name, say name? claim want me, ain't thang acting kind shady ain't calling baby, oh boy, go'n stop playing games playing games games, games games, oh, games got london track"
26,Ballin',Mustard Featuring Roddy Ricch,27,27,30,14,"mustard beat, ho put new forgis g trap bloody bottoms underneath 'cause niggas got streets keep hundred racks inside jeans remember hittin' mall whole team nigga can't answer calls 'cause  ballin' wakin' up, gettin' racks morning broke,  rich, niggas salty designer body got drip, drip, ayy straight yajects,  big crip got pint lean, a sip, sip run racks queen like london nip got rich niggas, forget, back go struggle, forget hop inside maybach sit back bitches know 'cause got big racks 'cause  gettin' money now, know heard ng nigga corner, bitch, serve crack uncle fronted p's, get birds back came dirty money, gave birdbath cut brain give bitch new coupe either frontin' y'all gang suwoop got new orleans bitch man, pussy voodoo  nigga now, knew? put new forgis g trap bloody bottoms underneath 'cause niggas got streets keep hundred racks inside jeans remember hittin' mall whole team nigga can't answer calls 'cause  ballin' wakin' up, gettin' racks morning broke,  rich, niggas salty wakin' get money, woah, woah got bad bitch, ass tatted, woah, woah givenchy toes, two twins,  fucking 'em put new ap, water like boat bad dick, niggas at? know turned back get racks see swerve back, 'cause  black 'bach new diamonds me, fuck flash, ain't snapchat 'cause gettin' paid yellow diamonds look like lemonade grab baby mama new bentayga tryna get dojo like sensei, yeah rolls royce umbrellas  rain mind business got brothers time, ain't kiddin' rappers talk it, live goin' up, ain't got sky limit, yeah, yeah, yeah put new forgis g trap bloody bottoms underneath 'cause niggas got streets keep hundred racks inside jeans remember hittin' mall whole team nigga can't answer calls 'cause  ballin' wakin' up, gettin' racks morning broke,  rich, niggas salty i, ayy, yeah i've ballin', lil' nigga watch ball niggas yeah, watch ball niggas, yeah watch ball niggas watch ball niggas, yeah, yeah"
27,Suge,DaBaby,28,7,27,30,"pooh, fool one ha oh lord, jetson made another one hah pack mail, gone (uh) like smell, cologne (yeah) signed deal,  yeah, yeah go want,  good (good) play want, let's (ha)  ng ceo, suge (yeah) yeah, yeah first nigga play, a body nigga (ha) checked balance i'll probably pull hood come buy nigga (no cap) know ho told nigga crazy think lied , nigga (bitch) get caught ho  poppin' 'em high like bobby whitney (haa) say  goat, act like know fuck it,  obviously winnin' make go hit bank take hundred show pockets different (ha)  bitch want knowledge got lil' mileage,  chillin' (uh) disrespect i'll beat ass front partners children (ahh, ahh)  type let nigga think  broke pop million (i pop) take k put head make one partners come kill (yeah) say fuckin' gotta grow 'cause nigga gotta kiddin' (kiddin') shit, can't fit pocket got it, like hit lottery, nigga (hot, hot, hot) opp, i'll slap shit nigga talkin', like argue niggas (i don't) ain't gon' laughin' see whip guns,  gon' done shot nigga (no cap) follow bitches ig bitches, follow nigga (ha) lil' nigga ain't gon' shoot shit gun pull pictures (bitch, uh) hah pack mail, gone (uh) like smell, cologne (yeah) signed deal,  yeah, yeah go want,  good (good) play want, let's (ha)  ng ceo, suge (yeah) yeah, yeah hah pack mail, gone (uh) like smell, cologne (yeah) signed deal,  yeah, yeah go want  good (good) play want, let's (ha)  ng ceo, suge (yeah) yeah, yeah talkin' shit, a pop (pop) got like thirty-two thousand one pockets one, that's glock (glock) little niggas wanna internet gangster man, tell little niggas stop (ha) done burnt nigga front store mammy grandmama shop (bitch) hopped whole wave niggas let's see one little niggas top turn nigga convertible push lil' nigga top back (vroom) boyfriend hatin' callin' groupie 'cause like music (ha) she'll send text delete message tryna find out, confusin' know niggas thinkin' use brain head 'fore lose (bitch) i'll pull school i'll teach shit tell bro  motherfuckin' tutor 'member used cheat pretty bitch test teachers, thought stupid (uh huh) expectin' box pull truck man, nigga pulled scooter (the fuck?) hah pack mail, gone (uh) like smell, cologne (yeah) signed deal,  yeah, yeah go want,  good (good) play want, let's (ha)  ng ceo, suge (yeah) yeah, yeah hah pack mail, gone (uh) like smell, cologne (yeah) signed deal,  yeah, yeah go want  good (good) play want, let's (ha)  ng ceo, suge (yeah) yeah, yeah"
28,How Do You Sleep?,Sam Smith,29,24,28,14," done hatin' feelin'  done cryin' awake gotta leave start healin' move like that, wanna stay become now? lookin' phone oh now, love game look done dialling numbers want heart break baby, sleep lie me? shame danger  hopin' love keep tonight baby, sleep lie me? fear pressure  hopin' love keep tonight (tell me, —) love keep tonight (tell me, —) oh, no, manage lose me? desperate, crazy there's way  stickin' 'round find lose like that, lose look done (done) diallin' numbers want heart break baby, sleep lie me? shame danger  hopin' love keep tonight baby, sleep lie me? fear pressure  hopin' love keep tonight (tell —) yeah, yeah, yeah love keep tonight (tell —) oh, love keep tonight baby, sleep lie me? shame danger  hopin' love keep tonight baby, sleep lie me? (oh) fear pressure (oh)  hopin' love keep tonight (tell —)"
29,Baby,Lil Baby & DaBaby,30,21,29,14,"wheezy outta yeah, rest peace bankroll‚ show 'em baby goin' crazy‚ gettin' straight done caught many flights end fuckin' stewardesses catch atlanta‚ security jewelry found rich, baby mama talkin' suin' 'nother bitch tellin' lies pussy like screwin' catch bad, that's ass‚ nigga, si diamonds chain, ain't foolin' skippin' school train‚ duckin' truancy main partner turned rat, talkin' 'bout robbin' pray judge give boy bond pop hood, sellin' bags, shootin' choppers fucked around tried go lease helicopter baby really problem, somebody gotta stop haters watchin' hard, think got binoculars every nigga go, ain't stoppin' us niggas actin' like got bag,  tryna stop bros road, gotta lock gotta say smoke, we're poppin' baby got streets hold, ain't drop yet i've goin' hard, gon' hard top make look easy, shit really process  really millionaire, still projects baby puttin' city baby, realest, baby prolly got couple million baby hang four five killers baby got children, baby prolly still drug dealin baby ain't trapper, rapper baby makin' classics, baby hood gettin' active baby keep real people baby like preacher, baby prolly still sell reefer huh? baby prolly still got 'bows tell bitch  faithful, still got hoes baby gettin' jiggy, stage glizzy baby ceo, shake game like diddy would think mardi gras, got bitches showin' titties ain't throwin' beads, pull bitches' weaves  stallin' bitches out,  dog, flea fuck doggystyle time  knee barely wanna hit her, got beggin', 'baby, please' tell bitch shut up, 'bout fuck nut label's ceo keep beggin' keep gun know, play baby, baby beat him, cut private plane, wi-fi, facetime johnny told ice wrist up, like hold fist boy dababy air gettin' dick sucked? keep fire throw fours every picture? 'cause nigga... baby puttin' city baby, realest, baby prolly got couple million baby hang four five killers baby got children, baby prolly still drug dealin baby ain't trapper, rapper baby makin' classics, baby hood gettin' active baby keep real people baby like preacher, baby prolly still sell reefer"
