Title,Artist,Rank,Peak Position,Last Position,Weeks
"Love Someone","Lukas Graham",96,70,89,10
"Momma I Hit A Lick","2 Chainz Featuring Kendrick Lamar",100,100,0,1
"Backin' It Up","Pardison Fontaine Featuring Cardi B",48,40,47,20
"Legacy","Offset Featuring Travis Scott & 21 Savage",49,49,0,1
"I'll Never Love Again","Lady Gaga",62,36,0,7
"How Did I Get Here","Offset Featuring  J. Cole",65,65,0,1
"NASA","Ariana Grande",68,17,46,3
"Outstanding","Gunna",70,70,0,1
"Be Like Me","Lil Pump Featuring Lil Wayne",72,72,0,1
"3 Headed Snake","Gunna Featuring Young Thug",74,74,0,1
"Wit It","Gunna",75,75,0,1
"This Feeling","The Chainsmokers Featuring Kelsea Ballerini",77,50,64,20
"One Call","Gunna",78,56,0,2
"Nothing Breaks Like A Heart","Mark Ronson Featuring Miley Cyrus",84,43,63,13
"Imagine","Ariana Grande",85,21,58,8
"Lick","Offset",86,86,0,1
"Bad Idea","Ariana Grande",90,27,55,3
"Speed It Up","Gunna",91,91,0,1
"Bloodline","Ariana Grande",93,22,53,3
"I Guess I Just Feel Like","John Mayer",94,94,0,1
"Same Yung N***a","Gunna Featuring Playboi Carti",97,97,0,1
"Fake Smile","Ariana Grande",57,26,26,2
"Lost In The Fire","Gesaffelstein & The Weeknd",61,27,58,6
"Ghostin","Ariana Grande",62,25,25,2
"Sixteen","Thomas Rhett",69,42,69,15
"In My Head","Ariana Grande",74,38,38,2
"Body","Loud Luxury Featuring Brando",82,80,82,8
"365","Zedd & Katy Perry",86,86,0,1
"Yosemite","Travis Scott",89,25,90,18
"Make Up","Ariana Grande",95,48,48,2
"Good Girl","Dustin Lynch",97,44,83,15
"Arms Around You","XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee",98,28,88,17
"Startender","A Boogie Wit da Hoodie Featuring Offset & Tyga",99,59,99,9
"Uproar","Lil Wayne",73,7,65,20
"Burning Man","Dierks Bentley Featuring Brothers Osborne",76,45,60,17
"You","Jacquees",77,58,70,12
"Ruin My Life","Zara Larsson",86,76,78,7
"Talk To Me","Tory Lanez & Rich The Kid",96,43,83,16
"Rainbow","Kacey Musgraves",98,98,0,1
"Alone","Marshmello",28,28,0,11
"Breathin","Ariana Grande",35,12,25,25
"Trip","Ella Mai",38,11,35,27
"Love Lies","Khalid & Normani",41,9,37,51
"Beautiful","Bazzi Featuring Camila Cabello",47,26,33,27
"First Off","Future Featuring Travis Scott",80,47,57,3
"Roses","benny blanco & Juice WRLD Featuring Brendon Urie",88,85,85,6
"Keanu Reeves","Logic",91,38,62,3
"No Stylist","French Montana Featuring Drake",92,47,66,20
"Crushed Up","Future",97,43,71,5
"Best Shot","Jimmie Allen",55,37,60,20
"Sauce!","XXXTENTACION",89,89,0,1
"BAD!","XXXTENTACION",97,16,0,11
"Blue Tacoma","Russell Dickerson",99,52,0,19
"Natural","Imagine Dragons",50,13,31,27
"Jumpin On A Jet","Future",57,57,80,2
"Never Stop","Future",65,65,0,1
"Consequences","Camila Cabello",72,51,60,12
"Temptation","Future",76,76,0,1
"Rocket Ship","Future",79,79,0,1
"F&N","Future",83,83,0,1
"Electricity","Silk City x Dua Lipa",90,62,68,10
